year,circuitId,name,location,country,lat,lng,alt,url
1969,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1970,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,Kent,http://en.wikipedia.org/wiki/Brands_Hatch
1970,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,Clermont-Ferrand,http://en.wikipedia.org/wiki/Charade_Circuit
1970,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,Hockenheim,http://en.wikipedia.org/wiki/Hockenheimring
1970,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,Madrid,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
1970,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1970,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1970,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1970,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,Spielberg,http://en.wikipedia.org/wiki/Red_Bull_Ring
1970,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,Mexico City,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
1970,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1970,tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,Quebec,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
1970,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1970,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1971,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1971,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1971,montjuic,Montjuïc,Barcelona,Spain,41.3664,2.15167,Barcelona,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
1971,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1971,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,Ontario,http://en.wikipedia.org/wiki/Mosport
1971,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1971,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,Spielberg,http://en.wikipedia.org/wiki/Red_Bull_Ring
1971,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,Le Castellet,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
1971,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1971,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1971,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1972,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,Kent,http://en.wikipedia.org/wiki/Brands_Hatch
1972,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,Clermont-Ferrand,http://en.wikipedia.org/wiki/Charade_Circuit
1972,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1972,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,Madrid,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
1972,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1972,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1972,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1972,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,Ontario,http://en.wikipedia.org/wiki/Mosport
1972,nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,Brussels,http://en.wikipedia.org/wiki/Nivelles-Baulers
1972,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1972,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,Spielberg,http://en.wikipedia.org/wiki/Red_Bull_Ring
1972,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1973,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,Anderstorp,http://en.wikipedia.org/wiki/Scandinavian_Raceway
1973,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1973,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,São Paulo,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
1973,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1973,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1973,montjuic,Montjuïc,Barcelona,Spain,41.3664,2.15167,Barcelona,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
1973,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1973,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,Ontario,http://en.wikipedia.org/wiki/Mosport
1973,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1973,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,Spielberg,http://en.wikipedia.org/wiki/Red_Bull_Ring
1973,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,Le Castellet,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
1973,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1973,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1973,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1973,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,Heusden-Zolder,http://en.wikipedia.org/wiki/Zolder
1974,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,Anderstorp,http://en.wikipedia.org/wiki/Scandinavian_Raceway
1974,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,Kent,http://en.wikipedia.org/wiki/Brands_Hatch
1974,dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913,Dijon,http://en.wikipedia.org/wiki/Dijon-Prenois
1974,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1974,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,São Paulo,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
1974,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,Madrid,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
1974,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1974,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1974,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1974,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,Ontario,http://en.wikipedia.org/wiki/Mosport
1974,nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,Brussels,http://en.wikipedia.org/wiki/Nivelles-Baulers
1974,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1974,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,Spielberg,http://en.wikipedia.org/wiki/Red_Bull_Ring
1974,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1974,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1975,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,Anderstorp,http://en.wikipedia.org/wiki/Scandinavian_Raceway
1975,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1975,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,São Paulo,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
1975,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1975,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1975,montjuic,Montjuïc,Barcelona,Spain,41.3664,2.15167,Barcelona,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
1975,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1975,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1975,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,Spielberg,http://en.wikipedia.org/wiki/Red_Bull_Ring
1975,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,Le Castellet,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
1975,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1975,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1975,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1975,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,Heusden-Zolder,http://en.wikipedia.org/wiki/Zolder
1976,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,Anderstorp,http://en.wikipedia.org/wiki/Scandinavian_Raceway
1976,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,Kent,http://en.wikipedia.org/wiki/Brands_Hatch
1976,fuji,Fuji Speedway,Oyama,Japan,35.3717,138.927,Oyama,http://en.wikipedia.org/wiki/Fuji_Speedway
1976,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,São Paulo,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
1976,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,Madrid,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
1976,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1976,long_beach,Long Beach,California,USA,33.7651,-118.189,California,"http://en.wikipedia.org/wiki/Long_Beach,_California"
1976,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1976,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1976,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,Ontario,http://en.wikipedia.org/wiki/Mosport
1976,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1976,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,Spielberg,http://en.wikipedia.org/wiki/Red_Bull_Ring
1976,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,Le Castellet,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
1976,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1976,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1976,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,Heusden-Zolder,http://en.wikipedia.org/wiki/Zolder
1977,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,Anderstorp,http://en.wikipedia.org/wiki/Scandinavian_Raceway
1977,dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913,Dijon,http://en.wikipedia.org/wiki/Dijon-Prenois
1977,fuji,Fuji Speedway,Oyama,Japan,35.3717,138.927,Oyama,http://en.wikipedia.org/wiki/Fuji_Speedway
1977,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1977,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,Hockenheim,http://en.wikipedia.org/wiki/Hockenheimring
1977,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,São Paulo,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
1977,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,Madrid,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
1977,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1977,long_beach,Long Beach,California,USA,33.7651,-118.189,California,"http://en.wikipedia.org/wiki/Long_Beach,_California"
1977,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1977,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1977,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,Ontario,http://en.wikipedia.org/wiki/Mosport
1977,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,Spielberg,http://en.wikipedia.org/wiki/Red_Bull_Ring
1977,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1977,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1977,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1977,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,Heusden-Zolder,http://en.wikipedia.org/wiki/Zolder
1978,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,Anderstorp,http://en.wikipedia.org/wiki/Scandinavian_Raceway
1978,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,Kent,http://en.wikipedia.org/wiki/Brands_Hatch
1978,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1978,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,Hockenheim,http://en.wikipedia.org/wiki/Hockenheimring
1978,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,Rio de Janeiro,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
1978,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,Madrid,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
1978,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1978,long_beach,Long Beach,California,USA,33.7651,-118.189,California,"http://en.wikipedia.org/wiki/Long_Beach,_California"
1978,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1978,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1978,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,Spielberg,http://en.wikipedia.org/wiki/Red_Bull_Ring
1978,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,Le Castellet,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
1978,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,Montreal,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
1978,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1978,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1978,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,Heusden-Zolder,http://en.wikipedia.org/wiki/Zolder
1979,dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913,Dijon,http://en.wikipedia.org/wiki/Dijon-Prenois
1979,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1979,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,Hockenheim,http://en.wikipedia.org/wiki/Hockenheimring
1979,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,São Paulo,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
1979,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,Madrid,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
1979,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1979,long_beach,Long Beach,California,USA,33.7651,-118.189,California,"http://en.wikipedia.org/wiki/Long_Beach,_California"
1979,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1979,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1979,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,Spielberg,http://en.wikipedia.org/wiki/Red_Bull_Ring
1979,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1979,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,Montreal,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
1979,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1979,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1979,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,Heusden-Zolder,http://en.wikipedia.org/wiki/Zolder
1980,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,Kent,http://en.wikipedia.org/wiki/Brands_Hatch
1980,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1980,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,Hockenheim,http://en.wikipedia.org/wiki/Hockenheimring
1980,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,Imola,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
1980,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,São Paulo,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
1980,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1980,long_beach,Long Beach,California,USA,33.7651,-118.189,California,"http://en.wikipedia.org/wiki/Long_Beach,_California"
1980,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1980,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,Spielberg,http://en.wikipedia.org/wiki/Red_Bull_Ring
1980,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,Le Castellet,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
1980,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,Montreal,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
1980,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1980,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1980,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,Heusden-Zolder,http://en.wikipedia.org/wiki/Zolder
1981,dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913,Dijon,http://en.wikipedia.org/wiki/Dijon-Prenois
1981,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1981,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,Hockenheim,http://en.wikipedia.org/wiki/Hockenheimring
1981,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,Imola,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
1981,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,Rio de Janeiro,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
1981,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,Madrid,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
1981,las_vegas,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,Nevada,http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit
1981,long_beach,Long Beach,California,USA,33.7651,-118.189,California,"http://en.wikipedia.org/wiki/Long_Beach,_California"
1981,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1981,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1981,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,Spielberg,http://en.wikipedia.org/wiki/Red_Bull_Ring
1981,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1981,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,Montreal,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
1981,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1981,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,Heusden-Zolder,http://en.wikipedia.org/wiki/Zolder
1982,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,Kent,http://en.wikipedia.org/wiki/Brands_Hatch
1982,detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,Detroit,http://en.wikipedia.org/wiki/Detroit_street_circuit
1982,dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913,Dijon,http://en.wikipedia.org/wiki/Dijon-Prenois
1982,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,Hockenheim,http://en.wikipedia.org/wiki/Hockenheimring
1982,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,Imola,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
1982,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,Rio de Janeiro,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
1982,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,Midrand,http://en.wikipedia.org/wiki/Kyalami
1982,las_vegas,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,Nevada,http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit
1982,long_beach,Long Beach,California,USA,33.7651,-118.189,California,"http://en.wikipedia.org/wiki/Long_Beach,_California"
1982,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1982,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1982,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,Spielberg,http://en.wikipedia.org/wiki/Red_Bull_Ring
