constuctorId,url_imag
ferrari,https://di-uploads-pod15.dealerinspire.com/lakeforestsportscars/uploads/2021/06/Ferrari-Logo.png
force_india,https://upload.wikimedia.org/wikipedia/de/a/a4/Logo_Force_India.svg
hrt,https://es.wikipedia.org/wiki/HRT_Formula_1_Team#/media/Archivo:HRT_F1_TEAM_2012.svg
lotus_racing,http://therantsandraves.com/lotus/wp-content/uploads/2010/09/lotusracing1.jpg
mclaren,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/team%20logos/mclaren.jpg
mercedes,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/team%20logos/mercedes.jpg
red_bull,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/team%20logos/red%20bull.jpg
renault,https://www.formulaf1.es/wp-content/uploads/2016/03/alpine-f1.jpeg
sauber,https://static.wikia.nocookie.net/logopedia/images/1/18/Sauber.png/revision/latest?cb=20150415170907
toro_rosso,https://fast-mag.com/mag/wp-content/uploads/2016/03/toroRosso.png
virgin,https://seeklogo.com/images/V/virgin-racing-logo-BB431F2AF2-seeklogo.com.png
williams,https://logodix.com/logo/615493.jpg
caterham,https://img.remediosdigitales.com/37c034/caterhamf1teamlogo/1366_2000.jpg
lotus_f1,https://static.wikia.nocookie.net/haddozf1/images/c/c0/Lotus_F1_Team_logo.jpg/revision/latest/scale-to-width-down/1000?cb=20180825132241&path-prefix=es
marussia,https://hips.hearstapps.com/es.h-cdn.co/cades/contenidos/32841/marussia_logo2.jpg?resize=980:*
manor,https://pbs.twimg.com/media/EZmM3EvX0AAim4_?format=jpg&name=large
haas,https://i.pinimg.com/564x/4e/94/32/4e943285f572913188a96d72c85f07de.jpg
alfa,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.formula1.com%2Fen%2Fteams%2FAlfa-Romeo.html&psig=AOvVaw3zhexenClk86mnpD17cHIh&ust=1680642837884000&source=images&cd=vfe&ved=2ahUKEwiCmoXM0I7-AhU4m2oFHUiYCigQjRx6BAgAEAo
racing_point,https://www.google.com/imgres?imgurl=https%3A%2F%2Fmedia.formula1.com%2Fcontent%2Fdam%2Ffom-website%2F2018-redesign-assets%2Fteam%2520logos%2Fred%2520bull.jpg&tbnid=6xIbz8q3-EDDKM&vet=12ahUKEwiWnJKlzY7-AhWlPt4AHTIRBFAQMygBegUIARDAAQ..i&imgrefurl=https%3A%2F%2Fwww.formula1.com%2Fen%2Fteams%2FRed-Bull-Racing.html&docid=-_pGf2mqZRewOM&w=1920&h=1080&q=imagesize%3A1920x1080%20logo%20f1%20racing&hl=es-419&ved=2ahUKEwiWnJKlzY7-AhWlPt4AHTIRBFAQMygBegUIARDAAQ
alphatauri,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/team%20logos/alphatauri.jpg
alpine,https://media.formula1.com/content/dam/fom-website/2018-redesign-assets/team%20logos/alpine.jpg
aston_martin,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/ephna83wwaeviau-1609579602.jpg?crop=1.00xw:0.892xh;0,0.0706xh&resize=980:*"
